timeStamp,alpha,beta,gamma
1420650368342,319.73623808082635,83.19371467067776,-40.151879961837786,standing
1420650368392,319.60739246019125,83.23888561511009,-40.03385200748231,standing
1420650368442,319.18984548926335,83.27795803128038,-39.638824896102115,standing
1420650368492,318.4458007529717,83.27887069056037,-38.90796848956496,standing
1420650368542,317.6342223073352,83.28264966108628,-38.17342023927401,standing
1420650368592,317.1762662831223,83.27878008514023,-37.79393480231797,standing
1420650368642,317.0239107718135,83.28560998826121,-37.70373390363279,standing
1420650368692,316.8580093803976,83.29069621730194,-37.57555958665089,standing
1420650368742,316.7353157829934,83.29341467782501,-37.496150377986645,standing
1420650368792,316.67961780097335,83.29140402490744,-37.45366772865384,standing
1420650368842,316.4807817778425,83.28768294023129,-37.26379490743107,standing
